phase,query_idx,filter_idx,actual_selectivity,estimated_selectivity,strategy_chosen,latency_ms,recall,reward,predict_overhead_us,route_overhead_us
learning,2,8,0.23102,0.23733333333333334,bitmap_prefilter,12.207000007038005,1.0,0.38964999964809977,2417.0003598555923,0.667001586407423
learning,22,13,0.340115,0.3471666666666667,post_filter,0.4617910090018995,1.0,0.976910449549905,3667.0026020146906,0.7920025382190943
learning,27,10,0.269975,0.27366666666666667,post_filter,0.5818749996251427,1.0,0.9709062500187429,917.0034900307655,0.7079943316057324
learning,7,16,0.658305,0.6626666666666666,bitmap_prefilter,36.348707995784935,1.0,0.0,16750.003851484507,1.2079981388524175
learning,12,18,0.70283,0.6958333333333333,bitmap_prefilter,38.81437500240281,1.0,0.0,8707.99703989178,1.2090022210031748
learning,27,22,0.789645,0.7913333333333333,bitmap_prefilter,47.90908400173066,1.0,0.0,10415.998985990882,1.291002263315022
learning,34,29,0.952505,0.9553333333333334,post_filter,0.5419999943114817,1.0,0.9729000002844259,15749.996236991137,0.08299684850499034
learning,46,21,0.773455,0.7686666666666667,post_filter,0.9717919965623878,1.0,0.9514104001718806,10541.996743995696,1.3329990906640887
learning,42,23,0.82095,0.8133333333333334,bitmap_prefilter,44.128583002020605,1.0,0.0,14166.995242703706,1.2919990695081651
learning,4,13,0.340115,0.3471666666666667,post_filter,0.6071240059100091,1.0,0.9696437997044995,3667.0026020146906,0.9159994078800082
learning,21,29,0.952505,0.9553333333333334,post_filter,0.6781670090276748,1.0,0.9660916495486163,14709.003153257072,0.08299684850499034
learning,20,19,0.728715,0.7221666666666666,post_filter,0.6462500023189932,1.0,0.9676874998840503,9999.996109399945,1.2919990695081651
learning,46,3,0.12083,0.124,post_filter,0.3408329939702526,0.9,0.0,1207.9981388524175,0.5410038284026086
learning,19,16,0.658305,0.6626666666666666,post_filter,0.4591670076479204,1.0,0.977041649617604,14958.9977809228,1.1250012903474271
learning,25,10,0.269975,0.27366666666666667,post_filter,1.414582999132108,1.0,0.9292708500433946,1041.9971658848226,0.7080016075633466
learning,8,17,0.68122,0.6775,bitmap_prefilter,38.34962499240646,1.0,0.0,2916.00008495152,1.2079981388524175
learning,24,21,0.773455,0.7686666666666667,post_filter,2.1422920035547577,1.0,0.8928853998222621,10458.003089297563,1.2919990695081651
learning,11,28,0.929375,0.9271666666666667,post_filter,1.9504160081851296,1.0,0.9024791995907435,13791.999663226306,0.08300412446260452
learning,36,19,0.728715,0.7221666666666666,bitmap_prefilter,39.57554199587321,1.0,0.0,9666.000551078469,1.2500022421590984
learning,0,17,0.68122,0.6775,bitmap_prefilter,80.04883299872745,1.0,0.0,2583.001332823187,1.1669981176964939
learning,27,6,0.178125,0.17883333333333334,post_filter,0.2414580012555234,0.0,0.0,2458.000381011516,0.5840047379024327
learning,41,19,0.728715,0.7221666666666666,bitmap_prefilter,42.039000007207505,1.0,0.0,9584.000508766621,1.2909949873574078
learning,28,14,0.389405,0.3953333333333333,post_filter,0.7005830048001371,0.9,0.0,7499.998901039362,0.9580035111866891
learning,30,16,0.658305,0.6626666666666666,post_filter,0.7034579975879751,1.0,0.9648271001206012,14667.006325908005,1.167005393654108
learning,47,25,0.86027,0.8641666666666666,bitmap_prefilter,45.2110830010497,1.0,0.0,10916.99959943071,1.3750031939707696
learning,18,2,0.09076,0.08566666666666667,bitmap_prefilter,5.358999995223712,1.0,0.7320500002388144,12124.997738283128,2.5420013116672635
learning,39,20,0.750325,0.7405,bitmap_prefilter,41.1509159966954,1.0,0.0,9999.996109399945,1.3329990906640887
learning,48,26,0.88188,0.8825,bitmap_prefilter,45.89700000360608,1.0,0.0,14625.002222601324,1.3750031939707696
learning,14,9,0.249675,0.2595,post_filter,0.5377080015023239,1.0,0.9731145999248838,2290.9953258931637,0.7080016075633466
learning,1,4,0.14001,0.13066666666666665,bitmap_prefilter,7.939042006910313,1.0,0.6030478996544844,1915.999746415764,0.5830006557516754
